dist,n,const1,const3,logn,sqrt,n/2
"uniform[0, 1]",3,749839,499480,499480,499480,499480
"uniform[0, 1]",10,908835,903747,903747,903747,857277
"uniform[0, 1]",50,980469,994469,997330,998248,992868
"uniform[0, 1]",200,995052,999648,999988,1000000,999999
"uniform[.1, .9]",3,700397,500135,500135,500135,500135
"uniform[.1, .9]",10,826915,844350,844350,844350,804106
"uniform[.1, .9]",50,883962,952032,973769,982493,975553
"uniform[.1, .9]",200,896039,967701,995251,999522,999969
"beta[2, 2]",3,693929,500366,500366,500366,500366
"beta[2, 2]",10,830859,832291,832291,832291,791524
"beta[2, 2]",50,925762,964828,977177,982307,968737
"beta[2, 2]",200,963244,991162,998765,999824,999891
