dist,n,const1,const3,logn,n^.4,sqrt,n/2
"uniform[0,1]",3,750217,500596,500596,500596,500596,500596
"uniform[0,1]",10,908858,903965,903965,903965,903965,857664
"uniform[0,1]",50,980477,994530,997333,997333,998224,992746
"uniform[0,1]",200,995015,999617,999992,999998,1000000,999998
"uniform[0,1]",500,998087,999933,1000000,1000000,1000000,1000000
"uniform[.1,.9]",3,700461,500492,500492,500492,500492,500492
"uniform[.1,.9]",10,827341,844433,844433,844433,844433,804034
"uniform[.1,.9]",50,884316,952643,974251,974251,982872,976143
"uniform[.1,.9]",200,896178,967757,995352,998000,999512,999973
"uniform[.1,.9]",500,898160,970062,996429,999804,999994,1000000
"beta[2,2]",3,692472,500139,500139,500139,500139,500139
"beta[2,2]",10,831013,832379,832379,832379,832379,791513
"beta[2,2]",50,925713,964837,977218,977218,982484,968338
"beta[2,2]",200,963227,991062,998763,999428,999836,999895
"beta[2,2]",500,976918,996445,999785,999992,1000000,1000000
